"","year","state","CVE_GEO","deaths"
"1670",2020,"Nuevo Leon",19,31541
"1671",2020,"Oaxaca",20,29298
"1672",2020,"Puebla",21,39822
"1673",2020,"Queretaro",22,11712
"1674",2020,"Quintana Roo",23,7525
"1675",2020,"San Luis Potosi",24,19246
"1676",2020,"Sinaloa",25,20246
"1677",2020,"Sonora",26,18069
"1678",2020,"State of Mexico",15,97790
"1679",2020,"Tabasco",27,14262
"1680",2020,"Tamaulipas",28,22621
"1681",2020,"Tlaxcala",29,7916
"1682",2020,"Veracruz",30,60646
"1683",2020,"Yucatan",31,14752
"1684",2020,"Zacatecas",32,10682
"1685",2021,"Aguascalientes",1,7527
"1686",2021,"Baja California",2,19006
"1687",2021,"Baja California Sur",3,4120
"1688",2021,"Campeche",4,5903
"1689",2021,"Chiapas",7,30426
"1690",2021,"Chihuahua",8,22119
"1691",2021,"Coahuila",5,18496
"1692",2021,"Colima",6,4661
"1693",2021,"Durango",10,11300
"1694",2021,"Guanajuato",11,35858
"1695",2021,"Guerrero",12,25584
"1696",2021,"Hidalgo",13,19922
"1697",2021,"Jalisco",14,50290
"1698",2021,"Mexico City",9,68265
"1699",2021,"Michoacan",16,31510
"1700",2021,"Morelos",17,14085
"1701",2021,"National",0,791489
"1702",2021,"Nayarit",18,8036
"1703",2021,"Nuevo Leon",19,32409
"1704",2021,"Oaxaca",20,29559
"1705",2021,"Puebla",21,40436
"1706",2021,"Queretaro",22,12056
"1707",2021,"Quintana Roo",23,7794
"1708",2021,"San Luis Potosi",24,19487
"1709",2021,"Sinaloa",25,20635
