"","year","state","CVE_GEO","population"
"670",1990,"Guanajuato",11,4088007
"671",1990,"Guerrero",12,2709402
"672",1990,"Hidalgo",13,1940433
"673",1990,"Jalisco",14,5467286
"674",1990,"Mexico City",9,8364711
"675",1990,"Michoacan",16,3669865
"676",1990,"Morelos",17,1221020
"677",1990,"National",0,83375978
"678",1990,"Nayarit",18,844648
"679",1990,"Nuevo Leon",19,3152007
"680",1990,"Oaxaca",20,3128390
"681",1990,"Puebla",21,4263276
"682",1990,"Queretaro",22,1082566
"683",1990,"Quintana Roo",23,505647
"684",1990,"San Luis Potosi",24,2058657
"685",1990,"Sinaloa",25,2248312
"686",1990,"Sonora",26,1861226
"687",1990,"State of Mexico",15,10092046
"688",1990,"Tabasco",27,1542070
"689",1990,"Tamaulipas",28,2297184
"690",1990,"Tlaxcala",29,783617
"691",1990,"Veracruz",30,6376953
"692",1990,"Yucatan",31,1400033
"693",1990,"Zacatecas",32,1311154
"694",1991,"Aguascalientes",1,760013
"695",1991,"Baja California",2,1769473
"696",1991,"Baja California Sur",3,333655
"697",1991,"Campeche",4,566776
"698",1991,"Chiapas",7,3369949
"699",1991,"Chihuahua",8,2557635
"700",1991,"Coahuila",5,2051248
"701",1991,"Colima",6,447496
"702",1991,"Durango",10,1402079
"703",1991,"Guanajuato",11,4155009
"704",1991,"Guerrero",12,2754743
"705",1991,"Hidalgo",13,1976775
"706",1991,"Jalisco",14,5573419
"707",1991,"Mexico City",9,8414436
"708",1991,"Michoacan",16,3720279
"709",1991,"Morelos",17,1260703
"710",1991,"National",0,84959845
"711",1991,"Nayarit",18,856225
"712",1991,"Nuevo Leon",19,3226619
"713",1991,"Oaxaca",20,3160205
"714",1991,"Puebla",21,4343803
"715",1991,"Queretaro",22,1113450
"716",1991,"Quintana Roo",23,538697
"717",1991,"San Luis Potosi",24,2090443
"718",1991,"Sinaloa",25,2285247
"719",1991,"Sonora",26,1904467
"720",1991,"State of Mexico",15,10386622
"721",1991,"Tabasco",27,1581485
"722",1991,"Tamaulipas",28,2342562
"723",1991,"Tlaxcala",29,803217
"724",1991,"Veracruz",30,6461877
"725",1991,"Yucatan",31,1430356
"726",1991,"Zacatecas",32,1320882
